,Community,global_rank,local_rank,MAC_address
343,122,410,216,02:00:00:03:04:03
344,129,267,17,02:00:00:03:04:04
345,122,291,217,02:00:00:03:04:05
346,122,28,404,02:00:00:03:04:06
347,122,240,218,02:00:00:03:04:07
348,122,523,219,02:00:00:03:04:08
349,122,197,220,02:00:00:03:04:09
350,122,338,221,02:00:00:03:05:00
351,122,481,222,02:00:00:03:05:01
352,122,213,223,02:00:00:03:05:02
353,122,245,224,02:00:00:03:05:03
354,122,455,225,02:00:00:03:05:04
355,122,303,226,02:00:00:03:05:05
356,122,471,227,02:00:00:03:05:06
357,421,95,20,02:00:00:03:05:07
358,122,173,228,02:00:00:03:05:08
359,221,355,7,02:00:00:03:05:09
360,122,385,229,02:00:00:03:06:00
361,122,69,405,02:00:00:03:06:01
362,362,8,5,02:00:00:03:06:02
363,122,471,230,02:00:00:03:06:03
364,122,443,231,02:00:00:03:06:04
365,122,245,232,02:00:00:03:06:05
366,122,151,233,02:00:00:03:06:06
367,122,471,234,02:00:00:03:06:07
368,122,376,235,02:00:00:03:06:08
369,122,197,236,02:00:00:03:06:09
370,122,455,237,02:00:00:03:07:00
371,281,13,14,02:00:00:03:07:01
372,122,433,238,02:00:00:03:07:02
373,122,141,239,02:00:00:03:07:03
374,122,179,240,02:00:00:03:07:04
375,122,51,382,02:00:00:03:07:05
376,129,364,18,02:00:00:03:07:06
377,122,346,241,02:00:00:03:07:07
378,122,455,242,02:00:00:03:07:08
379,122,118,243,02:00:00:03:07:09
380,122,74,383,02:00:00:03:08:00
381,122,329,244,02:00:00:03:08:01
382,122,455,245,02:00:00:03:08:02
383,281,134,9,02:00:00:03:08:03
384,122,523,246,02:00:00:03:08:04
385,281,72,13,02:00:00:03:08:05
386,122,443,247,02:00:00:03:08:06
387,122,309,248,02:00:00:03:08:07
388,122,39,406,02:00:00:03:08:08
389,122,443,249,02:00:00:03:08:09
390,122,85,250,02:00:00:03:09:00
391,122,267,251,02:00:00:03:09:01
392,122,322,252,02:00:00:03:09:02
393,122,166,253,02:00:00:03:09:03
394,122,523,254,02:00:00:03:09:04
395,122,370,255,02:00:00:03:09:05
396,122,501,256,02:00:00:03:09:06
397,122,277,257,02:00:00:03:09:07
398,421,80,21,02:00:00:03:09:08
399,122,433,258,02:00:00:03:09:09
400,122,143,259,02:00:00:04:00:00
401,122,481,260,02:00:00:04:00:01
402,129,100,14,02:00:00:04:00:02
403,122,90,384,02:00:00:04:00:03
404,122,168,261,02:00:00:04:00:04
405,122,233,262,02:00:00:04:00:05
406,221,338,8,02:00:00:04:00:06
407,122,394,263,02:00:00:04:00:07
408,122,157,264,02:00:00:04:00:08
409,122,214,265,02:00:00:04:00:09
410,122,191,266,02:00:00:04:01:00
411,122,34,407,02:00:00:04:01:01
412,122,252,267,02:00:00:04:01:02
413,122,355,268,02:00:00:04:01:03
414,122,116,385,02:00:00:04:01:04
415,122,385,269,02:00:00:04:01:05
416,122,103,386,02:00:00:04:01:06
417,122,128,270,02:00:00:04:01:07
418,122,151,271,02:00:00:04:01:08
419,122,294,272,02:00:00:04:01:09
420,122,303,273,02:00:00:04:02:00
421,421,8,22,02:00:00:04:02:01
422,122,133,274,02:00:00:04:02:02
423,122,197,275,02:00:00:04:02:03
424,122,261,276,02:00:00:04:02:04
425,122,490,277,02:00:00:04:02:05
426,122,132,278,02:00:00:04:02:06
427,122,394,279,02:00:00:04:02:07
428,122,433,280,02:00:00:04:02:08
429,122,218,281,02:00:00:04:02:09
430,122,501,282,02:00:00:04:03:00
431,122,151,283,02:00:00:04:03:01
432,122,523,284,02:00:00:04:03:02
433,122,236,285,02:00:00:04:03:03
434,122,355,286,02:00:00:04:03:04
435,221,45,9,02:00:00:04:03:05
436,122,394,287,02:00:00:04:03:06
437,122,443,288,02:00:00:04:03:07
438,122,355,289,02:00:00:04:03:08
439,122,240,290,02:00:00:04:03:09
440,122,178,291,02:00:00:04:04:00
441,122,322,292,02:00:00:04:04:01
442,122,16,408,02:00:00:04:04:02
443,122,463,293,02:00:00:04:04:03
444,122,216,294,02:00:00:04:04:04
445,421,58,23,02:00:00:04:04:05
446,122,501,295,02:00:00:04:04:06
447,122,131,296,02:00:00:04:04:07
448,122,329,297,02:00:00:04:04:08
449,122,481,298,02:00:00:04:04:09
450,122,433,299,02:00:00:04:05:00
451,122,128,300,02:00:00:04:05:01
452,122,394,301,02:00:00:04:05:02
453,122,197,302,02:00:00:04:05:03
454,122,104,303,02:00:00:04:05:04
455,122,322,304,02:00:00:04:05:05
456,122,267,305,02:00:00:04:05:06
457,122,285,306,02:00:00:04:05:07
458,129,433,15,02:00:00:04:05:08
459,122,346,307,02:00:00:04:05:09
460,122,523,308,02:00:00:04:06:00
461,461,5,6,02:00:00:04:06:01
462,122,261,309,02:00:00:04:06:02
463,122,83,409,02:00:00:04:06:03
464,421,77,30,02:00:00:04:06:04
465,148,47,8,02:00:00:04:06:05
466,148,200,9,02:00:00:04:06:06
467,122,206,310,02:00:00:04:06:07
468,468,10,12,02:00:00:04:06:08
469,122,338,311,02:00:00:04:06:09
470,122,252,312,02:00:00:04:07:00
471,468,376,13,02:00:00:04:07:01
472,122,403,313,02:00:00:04:07:02
473,122,425,314,02:00:00:04:07:03
474,122,194,315,02:00:00:04:07:04
475,122,417,316,02:00:00:04:07:05
476,122,501,317,02:00:00:04:07:06
477,122,410,318,02:00:00:04:07:07
478,122,200,319,02:00:00:04:07:08
479,122,141,387,02:00:00:04:07:09
480,122,15,410,02:00:00:04:08:00
481,148,155,10,02:00:00:04:08:01
482,362,273,4,02:00:00:04:08:02
483,122,463,320,02:00:00:04:08:03
484,122,162,321,02:00:00:04:08:04
485,122,20,388,02:00:00:04:08:05
486,122,57,389,02:00:00:04:08:06
487,122,338,322,02:00:00:04:08:07
488,122,285,323,02:00:00:04:08:08
489,129,315,16,02:00:00:04:08:09
490,122,523,324,02:00:00:04:09:00
491,221,364,10,02:00:00:04:09:01
492,148,280,11,02:00:00:04:09:02
493,122,338,325,02:00:00:04:09:03
494,122,455,326,02:00:00:04:09:04
495,122,338,327,02:00:00:04:09:05
496,122,376,328,02:00:00:04:09:06
497,122,236,329,02:00:00:04:09:07
498,421,136,24,02:00:00:04:09:08
499,122,501,330,02:00:00:04:09:09
500,122,261,331,02:00:00:05:00:00
501,122,501,332,02:00:00:05:00:01
502,281,47,10,02:00:00:05:00:02
503,122,245,333,02:00:00:05:00:03
504,122,66,411,02:00:00:05:00:04
505,122,410,334,02:00:00:05:00:05
506,122,376,335,02:00:00:05:00:06
